home_team,away_team,home_score,away_score,year,winner
Norway,United States,1,0,2002,Norway
China PR,Germany,2,1,2002,China PR
Germany,United States,0,0,2002,draw
China PR,Norway,0,3,2002,Norway
Germany,Norway,3,1,2002,Germany
China PR,United States,0,2,2002,United States
Denmark,Germany,0,3,2002,Germany
China PR,Finland,4,1,2002,China PR
Sweden,United States,1,1,2002,draw
Norway,England,3,1,2002,Norway
Canada,Scotland,3,0,2002,Canada
Portugal,Wales,0,1,2002,Wales
Finland,Denmark,0,2,2002,Denmark
Germany,China PR,2,4,2002,China PR
Sweden,Norway,3,3,2002,draw
United States,England,2,0,2002,United States
Canada,Wales,4,0,2002,Canada
Portugal,Scotland,1,2,2002,Scotland
Denmark,China PR,0,1,2002,China PR
Finland,Germany,0,2,2002,Germany
England,Sweden,3,6,2002,Sweden
Norway,United States,3,2,2002,Norway
Wales,Scotland,0,1,2002,Scotland
Portugal,Canada,1,7,2002,Canada
Portugal,Wales,4,0,2002,Portugal
England,Scotland,4,1,2002,England
Finland,Canada,3,0,2002,Finland
United States,Denmark,3,2,2002,United States
Sweden,Germany,2,1,2002,Sweden
China PR,Norway,1,0,2002,China PR
Trinidad and Tobago,Dominica,13,0,2002,Trinidad and Tobago
Trinidad and Tobago,Dominica,9,0,2002,Trinidad and Tobago
Haiti,Bahamas,9,0,2002,Haiti
Dominican Republic,Saint Lucia,2,2,2002,draw
Haiti,Saint Lucia,2,0,2002,Haiti
Dominican Republic,Bahamas,3,0,2002,Dominican Republic
Jamaica,Puerto Rico,8,0,2002,Jamaica
Saint Lucia,Bahamas,7,1,2002,Saint Lucia
Haiti,Dominican Republic,2,0,2002,Haiti
Puerto Rico,Jamaica,0,3,2002,Jamaica
Panama,Guatemala,2,1,2002,Panama
Costa Rica,Honduras,5,2,2002,Costa Rica
El Salvador,Panama,1,3,2002,Panama
Guatemala,Honduras,2,1,2002,Guatemala
Costa Rica,Guatemala,4,0,2002,Costa Rica
El Salvador,Honduras,1,0,2002,El Salvador
Costa Rica,Panama,4,1,2002,Costa Rica
El Salvador,Guatemala,1,5,2002,Guatemala
Jamaica,Haiti,2,0,2002,Jamaica
El Salvador,Costa Rica,0,3,2002,Costa Rica
Panama,Honduras,2,6,2002,Honduras
Suriname,U.S. Virgin Islands,6,1,2002,Suriname
Suriname,U.S. Virgin Islands,2,0,2002,Suriname
Suriname,Trinidad and Tobago,1,3,2002,Trinidad and Tobago
Suriname,Trinidad and Tobago,1,2,2002,Trinidad and Tobago
Haiti,Jamaica,0,0,2002,draw
Tanzania,Eritrea,2,2,2002,draw
Equatorial Guinea,Angola,1,3,2002,Angola
Gabon,São Tomé and Príncipe,6,0,2002,Gabon
Mali,Ivory Coast,1,1,2002,draw
Haiti,Suriname,3,0,2002,Haiti
Haiti,Suriname,2,1,2002,Haiti
Zambia,South Africa,1,4,2002,South Africa
Tanzania,Zimbabwe,0,5,2002,Zimbabwe
Gabon,Cameroon,0,0,2002,draw
Ethiopia,Uganda,2,0,2002,Ethiopia
Angola,DR Congo,1,0,2002,Angola
Senegal,Ghana,0,3,2002,Ghana
Mali,Morocco,0,0,2002,draw
Uganda,Ethiopia,2,2,2002,draw
Zimbabwe,Tanzania,5,0,2002,Zimbabwe
Trinidad and Tobago,Panama,2,4,2002,Panama
United States,Mexico,3,0,2002,United States
United States,Trinidad and Tobago,3,0,2002,United States
Mexico,Panama,5,1,2002,Mexico
Jamaica,Costa Rica,0,2,2002,Costa Rica
Canada,Haiti,11,1,2002,Canada
Haiti,Costa Rica,0,5,2002,Costa Rica
Canada,Jamaica,9,0,2002,Canada
Mexico,Trinidad and Tobago,2,0,2002,Mexico
United States,Panama,9,0,2002,United States
Jamaica,Haiti,1,2,2002,Haiti
Canada,Costa Rica,3,0,2002,Canada
Canada,Mexico,2,0,2002,Canada
United States,Costa Rica,7,0,2002,United States
Mexico,Costa Rica,4,1,2002,Mexico
United States,Canada,2,1,2002,United States
Nigeria,Ethiopia,3,0,2002,Nigeria
Mali,Ghana,0,2,2002,Ghana
South Africa,Cameroon,2,1,2002,South Africa
Angola,Zimbabwe,1,1,2002,draw
Ethiopia,Mali,2,2,2002,draw
Nigeria,Ghana,0,1,2002,Ghana
Eritrea,Tanzania,2,3,2002,Tanzania
São Tomé and Príncipe,Gabon,0,2,2002,Gabon
Ivory Coast,Mali,3,3,2002,draw
Cameroon,Zimbabwe,0,0,2002,draw
South Africa,Angola,1,1,2002,draw
Angola,Equatorial Guinea,3,0,2002,Angola
DR Congo,Angola,1,0,2002,DR Congo
Morocco,Mali,0,0,2002,draw
Cameroon,South Africa,3,0,2002,Cameroon
Nigeria,Ghana,2,0,2002,Nigeria
South Africa,Zambia,4,0,2002,South Africa
